name,place_type,lat,lon,cost,address,nearby_wifi
DAN IANNUZZI PARK,park,43.7660731619419,-79.5058591575821,free,75 Delabo Dr,False
SERENA GUNDY PARK,park,43.7186413080202,-79.3565959775629,free,58 Rykert Cres,False
STRATHBURN PARK,park,43.7221408612384,-79.5327912234411,free,55 Strathburn Blvd,False
BEN NOBLEMAN PARK,park,43.698473108678,-79.4352115755479,free,1075 Eglinton Ave W,False
FOUR OAKS GATE PARK,park,43.6968399375026,-79.3375619545613,free,388 A O'Connor Dr,False
MOCCASIN TRAIL PARK,park,43.733579804838,-79.3333004322015,free,55 Green Belt Dr,False
CLIFF LUMSDON PARK,park,43.5951691707448,-79.5014703846029,free,101 Lake Shore Dr,False
TORONTO MUSIC GARDEN,park,43.6369633806304,-79.3942170960435,free,479 Queens Quay W,False
RIVERSIDE DRIVE PARKETTE,park,43.6380643873947,-79.4766058699907,free,38 Kingsway,False
RANLEIGH PARK,park,43.7285212945419,-79.4000653136605,free,100 Ranleigh Ave,False
ETIENNE BRULE PARK,park,43.6559553613428,-79.4981049252439,free,13 Crosby Ave,False
LONG BRANCH PARK,park,43.5884583202618,-79.5298761000794,free,245 Lake Promenade,False
LEN FORD PARK,park,43.5882542752267,-79.5332350286288,free,295 Lake Promenade,False
MARKET GARDEN MEWS,park,43.623114420146,-79.5130232808925,free,25 Market Garden Mews,False
KNIGHTSWOOD RD PARK,park,43.7396696539249,-79.3908871798528,free,40 Knightswood Rd,False
HORTON PARK,park,43.7363652560111,-79.2428008797477,free,15 Oswego Rd,False
20 CASTLEFIELD AVE PARK,park,43.7119116356127,-79.4007127701497,free,20 Castlefield Ave,False
LAKEVIEW AVENUE PARKETTE,park,43.6495995325778,-79.4229135488179,free,1208 Dundas St W,False
KITCHENER PARK,park,43.7319541606001,-79.2536125516899,free,20 Lorraine Ave,False
MAGWOOD PARK,park,43.6574809794854,-79.4974882250038,free,2 Pasadena Gdns,False
GRAFTON AVENUE PARK,park,43.6394743640942,-79.4460196176447,free,23 Roncesvalles Ave,False
MICHAEL POWER PARK,park,43.6452823896747,-79.5310408897024,free,5055 Dundas St W,False
CALEDONIA PARK,park,43.7137563346191,-79.4649273999112,free,1141 Caledonia Rd,False
SIX POINTS PARK,park,43.6396493454587,-79.5359065620747,free,10 Viking Lane,False
JOYCE PARK,park,43.7090789720474,-79.4672977705763,free,62 Joyce Pkwy,False
MILLSTONE PARKETTE,park,43.7386177315777,-79.4007175408464,free,1 Plymbridge Rd,False
BEATY AVENUE PARKETTE,park,43.6384074261191,-79.4410883826551,free,66 Beaty Ave,False
