HOOD_158,NEIGHBOURHOOD_158,OCC_YEAR,MCI_CATEGORY,count
005,Elms-Old Rexdale (5),2021,Auto Theft,48
005,Elms-Old Rexdale (5),2021,Break and Enter,9
005,Elms-Old Rexdale (5),2021,Robbery,7
005,Elms-Old Rexdale (5),2021,Theft Over,3
005,Elms-Old Rexdale (5),2022,Assault,67
005,Elms-Old Rexdale (5),2022,Auto Theft,61
005,Elms-Old Rexdale (5),2022,Break and Enter,9
005,Elms-Old Rexdale (5),2022,Robbery,15
005,Elms-Old Rexdale (5),2023,Assault,61
005,Elms-Old Rexdale (5),2023,Auto Theft,40
005,Elms-Old Rexdale (5),2023,Break and Enter,16
005,Elms-Old Rexdale (5),2023,Robbery,14
005,Elms-Old Rexdale (5),2023,Theft Over,4
005,Elms-Old Rexdale (5),2024,Assault,82
005,Elms-Old Rexdale (5),2024,Auto Theft,50
005,Elms-Old Rexdale (5),2024,Break and Enter,11
005,Elms-Old Rexdale (5),2024,Robbery,21
005,Elms-Old Rexdale (5),2024,Theft Over,2
005,Elms-Old Rexdale (5),2025,Assault,54
005,Elms-Old Rexdale (5),2025,Auto Theft,35
005,Elms-Old Rexdale (5),2025,Break and Enter,9
005,Elms-Old Rexdale (5),2025,Robbery,13
005,Elms-Old Rexdale (5),2025,Theft Over,3
006,Kingsview Village-The Westway (6),2005,Assault,2
006,Kingsview Village-The Westway (6),2010,Assault,2
006,Kingsview Village-The Westway (6),2012,Assault,1
006,Kingsview Village-The Westway (6),2012,Break and Enter,1
006,Kingsview Village-The Westway (6),2013,Assault,1
006,Kingsview Village-The Westway (6),2013,Break and Enter,1
006,Kingsview Village-The Westway (6),2013,Theft Over,1
006,Kingsview Village-The Westway (6),2014,Assault,96
006,Kingsview Village-The Westway (6),2014,Auto Theft,57
006,Kingsview Village-The Westway (6),2014,Break and Enter,36
006,Kingsview Village-The Westway (6),2014,Robbery,18
006,Kingsview Village-The Westway (6),2014,Theft Over,4
006,Kingsview Village-The Westway (6),2015,Assault,122
006,Kingsview Village-The Westway (6),2015,Auto Theft,50
006,Kingsview Village-The Westway (6),2015,Break and Enter,33
006,Kingsview Village-The Westway (6),2015,Robbery,32
006,Kingsview Village-The Westway (6),2015,Theft Over,4
006,Kingsview Village-The Westway (6),2016,Assault,131
006,Kingsview Village-The Westway (6),2016,Auto Theft,42
006,Kingsview Village-The Westway (6),2016,Break and Enter,34
006,Kingsview Village-The Westway (6),2016,Robbery,27
006,Kingsview Village-The Westway (6),2016,Theft Over,5
006,Kingsview Village-The Westway (6),2017,Assault,108
006,Kingsview Village-The Westway (6),2017,Auto Theft,37
